ax,ay,az,gx,gy,gz,dt
0.0605,0.0096,1.0367,6.0671,9.4665,-7.2866,0.012000
0.0673,0.0106,1.0237,11.0671,15.4726,-8.4527,0.012000
0.0649,-0.0462,0.9666,10.3201,14.8323,-7.9268,0.012000
0.0478,0.0028,0.9537,4.7256,7.6220,-1.9893,0.012000
0.0416,0.0295,0.9806,-1.0595,-0.4268,-0.1905,0.012000
0.0605,0.0200,0.9839,-4.6189,-5.4421,-0.6021,0.012000
0.0575,0.0101,1.0005,-6.6082,-7.7287,-0.6326,0.012000
0.0616,0.0109,0.9537,-9.9924,-12.3399,0.7622,0.012000
0.0759,-0.0150,1.0511,-15.0915,-18.0945,1.9665,0.012000
0.0458,0.0179,1.0047,-5.5107,-8.2622,2.8659,0.012000
0.0787,-0.0009,0.9915,0.2668,-1.6387,0.4954,0.012000
0.0558,0.0011,1.0016,1.1357,1.7759,-1.1509,0.012000
0.0882,0.0109,0.9998,-0.4192,-1.1890,-1.6921,0.012000
0.0892,0.0088,1.0013,-0.9832,-2.1494,-0.2591,0.012000
0.0599,0.0002,1.0015,-0.0838,-0.7317,-0.1220,0.012000
0.0678,0.0021,1.0007,0.4421,0.0991,-0.4192,0.012000
0.0691,0.0104,0.9995,0.5488,0.7698,-0.5564,0.012000
0.0698,0.0076,1.0009,-0.5488,-0.4421,-0.6631,0.012000
0.0819,0.0067,1.0010,-0.1220,0.0610,-0.7546,0.012000
0.0707,0.0018,0.9982,0.6784,1.1280,-0.6402,0.012000
0.0679,0.0006,1.0034,0.4192,0.9223,-0.6402,0.012000
0.0700,0.0004,0.9977,-0.0686,0.2896,-0.5412,0.012000
0.0682,0.0092,1.0015,0.3963,0.5640,-0.5412,0.012000
0.0657,0.0087,1.0018,0.4954,0.7546,-0.6555,0.012000
0.0668,0.0083,1.0006,0.3201,0.4192,-0.5869,0.012000
0.0681,0.0058,0.9997,0.1905,0.4268,-0.5869,0.012000
0.0713,0.0038,0.9989,0.3735,0.6784,-0.5716,0.012000
0.0696,0.0039,1.0014,0.3735,0.6479,-0.5793,0.012000
0.0692,0.0045,1.0010,0.2134,0.3735,-0.5640,0.012000
0.0693,0.0033,0.9989,0.2515,0.4726,-0.5412,0.012000
0.0709,0.0018,0.9990,0.2973,0.6784,-0.6098,0.012000
0.0718,0.0054,0.9996,0.3049,0.4878,-0.5640,0.012000
0.0685,0.0049,0.9995,0.2363,0.4573,-0.5259,0.012000
0.0662,0.0087,1.0018,0.2896,0.5793,-0.5488,0.012000
0.0645,0.0084,1.0001,0.2210,0.5945,-0.5716,0.012000
0.0661,0.0065,1.0029,0.2515,0.6555,-0.5564,0.012000
0.0650,0.0039,0.9988,0.2591,0.6098,-0.5488,0.012000
0.0698,0.0027,0.9977,0.3125,0.5564,-0.4954,0.012000
0.0732,0.0038,1.0007,0.3887,0.6021,-0.5640,0.012000
0.0712,0.0046,1.0002,0.3125,0.5259,-0.4802,0.012000
0.0725,0.0052,0.9994,0.2058,0.5107,-0.5183,0.012000
0.0648,0.0075,1.0010,0.3201,0.6860,-0.5335,0.012000
0.0667,0.0057,1.0007,0.3277,0.5869,-0.5640,0.012000
0.0661,0.0031,1.0008,0.1982,0.5869,-0.6098,0.012000
0.0680,0.0047,1.0015,0.2744,0.5412,-0.6402,0.012000
0.0700,0.0040,1.0023,0.3354,0.6631,-0.5945,0.012000
0.0688,0.0060,0.9999,0.3125,0.4726,-0.5793,0.012000
0.0685,0.0044,0.9991,0.2744,0.5564,-0.6479,0.012000
0.0696,0.0040,0.9985,0.2668,0.6250,-0.5564,0.012000
0.0709,0.0043,1.0023,0.2973,0.5488,-0.6174,0.012000
0.0698,0.0048,0.9999,0.2591,0.5716,-0.6021,0.012000
0.0684,0.0054,0.9990,0.2363,0.5412,-0.5640,0.012000
0.0670,0.0071,1.0021,0.2210,0.5564,-0.4878,0.012000
0.0674,0.0034,1.0009,0.3125,0.5488,-0.5869,0.012000
0.0669,0.0038,0.9987,0.2820,0.5716,-0.5945,0.012000
0.0700,0.0048,1.0035,0.3582,0.5640,-0.5107,0.012000
0.0727,0.0042,1.0002,0.2973,0.5945,-0.5640,0.012000
0.0722,0.0050,0.9990,0.3049,0.5716,-0.5107,0.012000
0.0715,0.0049,1.0004,0.2896,0.5869,-0.4497,0.012000
0.0694,0.0043,1.0023,0.1905,0.5183,-0.4802,0.012000
0.0648,0.0048,0.9987,0.2744,0.5640,-0.5945,0.012000
0.0680,0.0061,0.9989,0.2668,0.6936,-0.5793,0.012000
0.0679,0.0059,1.0011,0.2973,0.6021,-0.5412,0.012000
0.0695,0.0075,1.0016,0.2820,0.5412,-0.6021,0.012000
0.0710,0.0074,1.0018,0.2439,0.5869,-0.5793,0.012000
0.0703,0.0023,0.9978,0.2744,0.5716,-0.5793,0.012000
0.0692,0.0038,1.0018,0.2591,0.6402,-0.5793,0.012000
0.0695,0.0054,0.9999,0.2439,0.6555,-0.6402,0.012000
0.0691,0.0031,1.0008,0.2439,0.6326,-0.5564,0.012000
0.0692,0.0048,1.0010,0.3125,0.6402,-0.5640,0.012000
0.0671,0.0057,1.0030,0.4040,0.6631,-0.5945,0.012000
0.0676,0.0046,1.0034,0.3201,0.6402,-0.5335,0.012000
0.0671,0.0068,1.0018,0.2668,0.6250,-0.4345,0.012000
